match_index,input_file_index,tree_entry,run,subrun,event,EventCategory,Pi0Count,PiPlusCount,PiMinusCount,total_true_pions,clusterHits_tankcluster,clusterChargeBalance_tankcluster_pmt_filtered
1,0,1208,0,0,208,10,0,2,0,2,110,0.2617209196
2,0,1896,0,0,896,10,0,1,0,1,107,0.2817963102
3,0,2008,0,0,8,10,1,0,0,1,107,0.2267480103
4,0,2222,0,0,222,10,1,1,0,2,96,0.3269057836
5,0,2501,0,0,501,5,0,1,0,1,100,0.3186966506
6,0,5974,0,0,974,10,0,2,0,2,119,0.2184766777
7,0,8205,0,0,205,5,0,1,0,1,121,0.2774621082
8,0,8645,0,0,645,3,0,1,0,1,119,0.2263252588
9,0,9389,0,0,389,5,0,1,0,1,112,0.2409108527
10,0,9684,0,0,684,10,0,1,0,1,119,0.2120495602
11,0,9967,0,0,967,5,1,0,0,1,94,0.4042906664
12,0,10091,0,0,91,10,0,1,0,1,118,0.2407832799
13,0,10297,0,0,297,5,0,1,0,1,94,0.3430138117
14,0,11004,0,0,4,5,0,1,1,2,119,0.2097148476
15,0,13736,0,0,736,5,1,0,0,1,116,0.2581850386
16,0,14046,0,0,46,10,0,1,0,1,80,0.4378504627
17,0,14103,0,0,103,5,0,1,0,1,97,0.4113937888
18,0,14497,0,0,497,10,0,1,0,1,118,0.267433762
19,0,15446,0,0,446,5,1,0,0,1,89,0.6609571305
20,0,15644,0,0,644,5,0,1,0,1,62,0.4658719149
21,0,16321,0,0,321,10,1,0,0,1,101,0.3179268173
22,0,16451,0,0,451,10,0,1,0,1,90,0.3847767197
23,0,18661,0,0,661,5,1,0,0,1,92,0.3505337619
24,0,19843,0,0,843,5,0,1,0,1,123,0.2028345894
25,0,20706,0,0,706,5,0,1,0,1,103,0.2292401707
26,0,21439,0,0,439,5,1,0,0,1,105,0.2960290594
27,0,22161,0,0,161,5,1,1,1,3,111,0.2934026754
28,0,22570,0,0,570,10,0,1,0,1,93,0.354335229
29,0,24088,0,0,88,10,1,1,1,3,111,0.2714144463
30,0,24967,0,0,967,10,0,0,1,1,94,0.4042906664
31,0,25511,0,0,511,10,0,1,0,1,117,0.2302009925
32,0,25557,0,0,557,5,0,1,0,1,121,0.2073046853
33,0,25569,0,0,569,10,1,0,0,1,116,0.2273530843
34,0,26603,0,0,603,10,0,1,1,2,114,0.2710577737
35,0,28086,0,0,86,3,0,1,0,1,91,0.2275996869
36,0,28208,0,0,208,5,0,1,0,1,110,0.2617209196
37,0,28629,0,0,629,5,0,1,0,1,102,0.3903082929
38,0,28719,0,0,719,10,0,1,0,1,120,0.2035037969
39,0,29949,0,0,949,5,0,1,0,1,114,0.2537561872
40,0,29952,0,0,952,10,3,0,0,3,114,0.2104644478
41,0,30661,0,0,661,10,0,1,0,1,92,0.3505337619
